,total_bill,tip,size,sex_Male,smoker_Yes,day_Sat,day_Sun,day_Thur,time_Lunch,tip_percentage,price_per_person
1,16.99,1.01,2,0,0,0,1,0,0,0.05944673337257211,8.495
2,10.34,1.66,3,1,0,0,1,0,0,0.16054158607350097,3.4466666666666668
3,21.01,3.5,3,1,0,0,1,0,0,0.16658733936220846,7.003333333333334
4,23.68,3.31,2,1,0,0,1,0,0,0.1397804054054054,11.84
5,24.59,3.61,4,0,0,0,1,0,0,0.14680764538430255,6.1475
6,25.29,4.71,4,1,0,0,1,0,0,0.18623962040332148,6.3225
7,8.77,2.0,2,1,0,0,1,0,0,0.22805017103762829,4.385
8,26.88,3.12,4,1,0,0,1,0,0,0.11607142857142858,6.72
9,15.04,1.96,2,1,0,0,1,0,0,0.13031914893617022,7.52
10,14.78,3.23,2,1,0,0,1,0,0,0.2185385656292287,7.39
11,10.27,1.71,2,1,0,0,1,0,0,0.1665043816942551,5.135
12,35.26,5.0,4,0,0,0,1,0,0,0.14180374361883155,8.815
13,15.42,1.57,2,1,0,0,1,0,0,0.10181582360570687,7.71
14,18.43,3.0,4,1,0,0,1,0,0,0.16277807921866522,4.6075
15,14.83,3.02,2,0,0,0,1,0,0,0.20364126770060686,7.415
16,21.58,3.92,2,1,0,0,1,0,0,0.18164967562557924,10.79
17,10.33,1.67,3,0,0,0,1,0,0,0.1616650532429816,3.4433333333333334
18,16.29,3.71,3,1,0,0,1,0,0,0.22774708410067526,5.43
19,16.97,3.5,3,0,0,0,1,0,0,0.20624631703005306,5.656666666666666
20,20.65,3.35,3,1,0,1,0,0,0,0.16222760290556903,6.883333333333333
21,17.92,4.08,2,1,0,1,0,0,0,0.22767857142857142,8.96
22,20.29,2.75,2,0,0,1,0,0,0,0.13553474618038444,10.145
23,15.77,2.23,2,0,0,1,0,0,0,0.14140773620798985,7.885
24,39.42,7.58,4,1,0,1,0,0,0,0.19228817858954844,9.855
25,19.82,3.18,2,1,0,1,0,0,0,0.16044399596367306,9.91
26,17.81,2.34,4,1,0,1,0,0,0,0.13138686131386862,4.4525
27,13.37,2.0,2,1,0,1,0,0,0,0.14958863126402394,6.685
28,12.69,2.0,2,1,0,1,0,0,0,0.15760441292356187,6.345
29,21.7,4.3,2,1,0,1,0,0,0,0.19815668202764977,10.85
30,19.65,3.0,2,0,0,1,0,0,0,0.15267175572519084,9.825
31,9.55,1.45,2,1,0,1,0,0,0,0.1518324607329843,4.775
32,18.35,2.5,4,1,0,1,0,0,0,0.13623978201634876,4.5875
33,15.06,3.0,2,0,0,1,0,0,0,0.199203187250996,7.53
34,20.69,2.45,4,0,0,1,0,0,0,0.11841469308844853,5.1725
35,17.78,3.27,2,1,0,1,0,0,0,0.1839145106861642,8.89
36,24.06,3.6,3,1,0,1,0,0,0,0.14962593516209477,8.02
37,16.31,2.0,3,1,0,1,0,0,0,0.12262415695892091,5.4366666666666665
38,16.93,3.07,3,0,0,1,0,0,0,0.1813349084465446,5.6433333333333335
39,18.69,2.31,3,1,0,1,0,0,0,0.12359550561797752,6.23
40,31.27,5.0,3,1,0,1,0,0,0,0.1598976654940838,10.423333333333334
41,16.04,2.24,3,1,0,1,0,0,0,0.13965087281795513,5.346666666666667
42,17.46,2.54,2,1,0,0,1,0,0,0.14547537227949597,8.73
43,13.94,3.06,2,1,0,0,1,0,0,0.21951219512195122,6.97
44,9.68,1.32,2,1,0,0,1,0,0,0.13636363636363638,4.84
45,30.4,5.6,4,1,0,0,1,0,0,0.18421052631578946,7.6
46,18.29,3.0,2,1,0,0,1,0,0,0.16402405686167304,9.145
47,22.23,5.0,2,1,0,0,1,0,0,0.22492127755285649,11.115
48,32.4,6.0,4,1,0,0,1,0,0,0.1851851851851852,8.1
49,28.55,2.05,3,1,0,0,1,0,0,0.07180385288966724,9.516666666666667
50,18.04,3.0,2,1,0,0,1,0,0,0.16629711751662973,9.02
51,12.54,2.5,2,1,0,0,1,0,0,0.19936204146730463,6.27
52,10.29,2.6,2,0,0,0,1,0,0,0.2526724975704568,5.145
53,34.81,5.2,4,0,0,0,1,0,0,0.14938236139040506,8.7025
54,9.94,1.56,2,1,0,0,1,0,0,0.15694164989939638,4.97
55,25.56,4.34,4,1,0,0,1,0,0,0.1697965571205008,6.39
56,19.49,3.51,2,1,0,0,1,0,0,0.18009235505387378,9.745
57,38.01,3.0,4,1,1,1,0,0,0,0.07892659826361484,9.5025
58,26.41,1.5,2,0,0,1,0,0,0,0.05679666792881484,13.205
59,11.24,1.76,2,1,1,1,0,0,0,0.15658362989323843,5.62
60,48.27,6.73,4,1,0,1,0,0,0,0.13942407292314066,12.0675
61,20.29,3.21,2,1,1,1,0,0,0,0.1582060128141942,10.145
62,13.81,2.0,2,1,1,1,0,0,0,0.1448225923244026,6.905
63,11.02,1.98,2,1,1,1,0,0,0,0.17967332123411978,5.51
64,18.29,3.76,4,1,1,1,0,0,0,0.20557681793329688,4.5725
65,17.59,2.64,3,1,0,1,0,0,0,0.15008527572484368,5.863333333333333
66,20.08,3.15,3,1,0,1,0,0,0,0.15687250996015936,6.6933333333333325
67,16.45,2.47,2,0,0,1,0,0,0,0.1501519756838906,8.225
68,3.07,1.0,1,0,1,1,0,0,0,0.32573289902280134,3.07
69,20.23,2.01,2,1,0,1,0,0,0,0.09935739001482945,10.115
70,15.01,2.09,2,1,1,1,0,0,0,0.13924050632911392,7.505
71,12.02,1.97,2,1,0,1,0,0,0,0.1638935108153078,6.01
72,17.07,3.0,3,0,0,1,0,0,0,0.1757469244288225,5.69
73,26.86,3.14,2,0,1,1,0,0,0,0.11690245718540582,13.43
74,25.28,5.0,2,0,1,1,0,0,0,0.19778481012658228,12.64
75,14.73,2.2,2,0,0,1,0,0,0,0.14935505770536323,7.365
76,10.51,1.25,2,1,0,1,0,0,0,0.11893434823977164,5.255
77,17.92,3.08,2,1,1,1,0,0,0,0.171875,8.96
78,27.2,4.0,4,1,0,0,0,1,1,0.14705882352941177,6.8
79,22.76,3.0,2,1,0,0,0,1,1,0.13181019332161686,11.38
80,17.29,2.71,2,1,0,0,0,1,1,0.156737998843262,8.645
81,19.44,3.0,2,1,1,0,0,1,1,0.15432098765432098,9.72
82,16.66,3.4,2,1,0,0,0,1,1,0.20408163265306123,8.33
83,10.07,1.83,1,0,0,0,0,1,1,0.1817279046673287,10.07
84,32.68,5.0,2,1,1,0,0,1,1,0.15299877600979192,16.34
85,15.98,2.03,2,1,0,0,0,1,1,0.12703379224030037,7.99
86,34.83,5.17,4,0,0,0,0,1,1,0.14843525696238874,8.7075
87,13.03,2.0,2,1,0,0,0,1,1,0.15349194167306218,6.515
88,18.28,4.0,2,1,0,0,0,1,1,0.2188183807439825,9.14
89,24.71,5.85,2,1,0,0,0,1,1,0.23674625657628487,12.355
90,21.16,3.0,2,1,0,0,0,1,1,0.14177693761814744,10.58
91,28.97,3.0,2,1,1,0,0,0,0,0.10355540214014498,14.485
92,22.49,3.5,2,1,0,0,0,0,0,0.15562472209871056,11.245
93,5.75,1.0,2,0,1,0,0,0,0,0.17391304347826086,2.875
94,16.32,4.3,2,0,1,0,0,0,0,0.26348039215686275,8.16
95,22.75,3.25,2,0,0,0,0,0,0,0.14285714285714285,11.375
96,40.17,4.73,4,1,1,0,0,0,0,0.1177495643515061,10.0425
97,27.28,4.0,2,1,1,0,0,0,0,0.14662756598240467,13.64
98,12.03,1.5,2,1,1,0,0,0,0,0.12468827930174564,6.015
99,21.01,3.0,2,1,1,0,0,0,0,0.1427891480247501,10.505
100,12.46,1.5,2,1,0,0,0,0,0,0.1203852327447833,6.23
101,11.35,2.5,2,0,1,0,0,0,0,0.22026431718061676,5.675
102,15.38,3.0,2,0,1,0,0,0,0,0.19505851755526657,7.69
103,44.3,2.5,3,0,1,1,0,0,0,0.05643340857787811,14.766666666666666
104,22.42,3.48,2,0,1,1,0,0,0,0.15521855486173058,11.21
105,20.92,4.08,2,0,0,1,0,0,0,0.1950286806883365,10.46
106,15.36,1.64,2,1,1,1,0,0,0,0.10677083333333333,7.68
107,20.49,4.06,2,1,1,1,0,0,0,0.19814543679843827,10.245
108,25.21,4.29,2,1,1,1,0,0,0,0.1701705672352241,12.605
109,18.24,3.76,2,1,0,1,0,0,0,0.20614035087719298,9.12
110,14.31,4.0,2,0,1,1,0,0,0,0.2795248078266946,7.155
111,14.0,3.0,2,1,0,1,0,0,0,0.21428571428571427,7.0
112,7.25,1.0,1,0,0,1,0,0,0,0.13793103448275862,7.25
113,38.07,4.0,3,1,0,0,1,0,0,0.10506960861570791,12.69
114,23.95,2.55,2,1,0,0,1,0,0,0.10647181628392484,11.975
115,25.71,4.0,3,0,0,0,1,0,0,0.15558148580318942,8.57
116,17.31,3.5,2,0,0,0,1,0,0,0.20219526285384173,8.655
117,29.93,5.07,4,1,0,0,1,0,0,0.1693952555963916,7.4825
118,10.65,1.5,2,0,0,0,0,1,1,0.14084507042253522,5.325
119,12.43,1.8,2,0,0,0,0,1,1,0.14481094127111827,6.215
120,24.08,2.92,4,0,0,0,0,1,1,0.1212624584717608,6.02
121,11.69,2.31,2,1,0,0,0,1,1,0.19760479041916168,5.845
122,13.42,1.68,2,0,0,0,0,1,1,0.12518628912071533,6.71
123,14.26,2.5,2,1,0,0,0,1,1,0.1753155680224404,7.13
124,15.95,2.0,2,1,0,0,0,1,1,0.12539184952978058,7.975
125,12.48,2.52,2,0,0,0,0,1,1,0.20192307692307693,6.24
126,29.8,4.2,6,0,0,0,0,1,1,0.14093959731543623,4.966666666666667
127,8.52,1.48,2,1,0,0,0,1,1,0.17370892018779344,4.26
128,14.52,2.0,2,0,0,0,0,1,1,0.13774104683195593,7.26
129,11.38,2.0,2,0,0,0,0,1,1,0.17574692442882248,5.69
130,22.82,2.18,3,1,0,0,0,1,1,0.09553023663453111,7.6066666666666665
131,19.08,1.5,2,1,0,0,0,1,1,0.07861635220125787,9.54
132,20.27,2.83,2,0,0,0,0,1,1,0.13961519486926494,10.135
133,11.17,1.5,2,0,0,0,0,1,1,0.13428827215756492,5.585
134,12.26,2.0,2,0,0,0,0,1,1,0.1631321370309951,6.13
135,18.26,3.25,2,0,0,0,0,1,1,0.17798466593647316,9.13
136,8.51,1.25,2,0,0,0,0,1,1,0.14688601645123384,4.255
137,10.33,2.0,2,0,0,0,0,1,1,0.1936108422071636,5.165
138,14.15,2.0,2,0,0,0,0,1,1,0.1413427561837456,7.075
139,16.0,2.0,2,1,1,0,0,1,1,0.125,8.0
140,13.16,2.75,2,0,0,0,0,1,1,0.20896656534954408,6.58
141,17.47,3.5,2,0,0,0,0,1,1,0.20034344590726963,8.735
142,34.3,6.7,6,1,0,0,0,1,1,0.19533527696793004,5.716666666666666
143,41.19,5.0,5,1,0,0,0,1,1,0.12138868657441128,8.238
144,27.05,5.0,6,0,0,0,0,1,1,0.18484288354898337,4.508333333333334
145,16.43,2.3,2,0,0,0,0,1,1,0.1399878271454656,8.215
146,8.35,1.5,2,0,0,0,0,1,1,0.17964071856287425,4.175
147,18.64,1.36,3,0,0,0,0,1,1,0.07296137339055794,6.213333333333334
148,11.87,1.63,2,0,0,0,0,1,1,0.13732097725358045,5.935
149,9.78,1.73,2,1,0,0,0,1,1,0.1768916155419223,4.89
150,7.51,2.0,2,1,0,0,0,1,1,0.2663115845539281,3.755
151,14.07,2.5,2,1,0,0,1,0,0,0.17768301350390903,7.035
152,13.13,2.0,2,1,0,0,1,0,0,0.15232292460015232,6.565
153,17.26,2.74,3,1,0,0,1,0,0,0.15874855156431053,5.753333333333334
154,24.55,2.0,4,1,0,0,1,0,0,0.0814663951120163,6.1375
155,19.77,2.0,4,1,0,0,1,0,0,0.10116337885685382,4.9425
156,29.85,5.14,5,0,0,0,1,0,0,0.1721943048576214,5.970000000000001
157,48.17,5.0,6,1,0,0,1,0,0,0.10379904504878555,8.028333333333334
158,25.0,3.75,4,0,0,0,1,0,0,0.15,6.25
159,13.39,2.61,2,0,0,0,1,0,0,0.19492158327109782,6.695
160,16.49,2.0,4,1,0,0,1,0,0,0.12128562765312312,4.1225
161,21.5,3.5,4,1,0,0,1,0,0,0.16279069767441862,5.375
162,12.66,2.5,2,1,0,0,1,0,0,0.19747235387045814,6.33
163,16.21,2.0,3,0,0,0,1,0,0,0.12338062924120913,5.403333333333333
164,13.81,2.0,2,1,0,0,1,0,0,0.1448225923244026,6.905
165,17.51,3.0,2,0,1,0,1,0,0,0.17133066818960593,8.755
166,24.52,3.48,3,1,0,0,1,0,0,0.14192495921696574,8.173333333333334
167,20.76,2.24,2,1,0,0,1,0,0,0.10789980732177264,10.38
168,31.71,4.5,4,1,0,0,1,0,0,0.14191106906338694,7.9275
169,10.59,1.61,2,0,1,1,0,0,0,0.15203021718602455,5.295
170,10.63,2.0,2,0,1,1,0,0,0,0.18814675446848542,5.315
171,50.81,10.0,3,1,1,1,0,0,0,0.19681165124975397,16.936666666666667
172,15.81,3.16,2,1,1,1,0,0,0,0.19987349778621127,7.905
173,7.25,5.15,2,1,1,0,1,0,0,0.710344827586207,3.625
174,31.85,3.18,2,1,1,0,1,0,0,0.09984301412872841,15.925
175,16.82,4.0,2,1,1,0,1,0,0,0.23781212841854935,8.41
176,32.9,3.11,2,1,1,0,1,0,0,0.0945288753799392,16.45
177,17.89,2.0,2,1,1,0,1,0,0,0.11179429849077696,8.945
178,14.48,2.0,2,1,1,0,1,0,0,0.13812154696132597,7.24
179,9.6,4.0,2,0,1,0,1,0,0,0.4166666666666667,4.8
180,34.63,3.55,2,1,1,0,1,0,0,0.102512272596015,17.315
181,34.65,3.68,4,1,1,0,1,0,0,0.10620490620490622,8.6625
182,23.33,5.65,2,1,1,0,1,0,0,0.2421774539219889,11.665
183,45.35,3.5,3,1,1,0,1,0,0,0.07717750826901874,15.116666666666667
184,23.17,6.5,4,1,1,0,1,0,0,0.2805351747949935,5.7925
185,40.55,3.0,2,1,1,0,1,0,0,0.07398273736128237,20.275
186,20.69,5.0,5,1,0,0,1,0,0,0.2416626389560174,4.138
187,20.9,3.5,3,0,1,0,1,0,0,0.1674641148325359,6.966666666666666
188,30.46,2.0,5,1,1,0,1,0,0,0.06565988181221273,6.0920000000000005
189,18.15,3.5,3,0,1,0,1,0,0,0.1928374655647383,6.05
190,23.1,4.0,3,1,1,0,1,0,0,0.17316017316017315,7.7
191,15.69,1.5,2,1,1,0,1,0,0,0.09560229445506692,7.845
192,19.81,4.19,2,0,1,0,0,1,1,0.21150933871781932,9.905
193,28.44,2.56,2,1,1,0,0,1,1,0.090014064697609,14.22
194,15.48,2.02,2,1,1,0,0,1,1,0.13049095607235142,7.74
195,16.58,4.0,2,1,1,0,0,1,1,0.24125452352231608,8.29
196,7.56,1.44,2,1,0,0,0,1,1,0.19047619047619047,3.78
197,10.34,2.0,2,1,1,0,0,1,1,0.19342359767891684,5.17
198,43.11,5.0,4,0,1,0,0,1,1,0.1159823706796567,10.7775
199,13.0,2.0,2,0,1,0,0,1,1,0.15384615384615385,6.5
200,13.51,2.0,2,1,1,0,0,1,1,0.14803849000740193,6.755
201,18.71,4.0,3,1,1,0,0,1,1,0.2137894174238375,6.236666666666667
202,12.74,2.01,2,0,1,0,0,1,1,0.15777080062794346,6.37
203,13.0,2.0,2,0,1,0,0,1,1,0.15384615384615385,6.5
204,16.4,2.5,2,0,1,0,0,1,1,0.15243902439024393,8.2
205,20.53,4.0,4,1,1,0,0,1,1,0.1948368241597662,5.1325
206,16.47,3.23,3,0,1,0,0,1,1,0.19611414693381907,5.489999999999999
207,26.59,3.41,3,1,1,1,0,0,0,0.1282437006393381,8.863333333333333
208,38.73,3.0,4,1,1,1,0,0,0,0.0774593338497289,9.6825
209,24.27,2.03,2,1,1,1,0,0,0,0.08364235681911825,12.135
210,12.76,2.23,2,0,1,1,0,0,0,0.17476489028213166,6.38
211,30.06,2.0,3,1,1,1,0,0,0,0.06653359946773121,10.02
212,25.89,5.16,4,1,1,1,0,0,0,0.1993047508690614,6.4725
213,48.33,9.0,4,1,0,1,0,0,0,0.186219739292365,12.0825
214,13.27,2.5,2,0,1,1,0,0,0,0.18839487565938207,6.635
215,28.17,6.5,3,0,1,1,0,0,0,0.23074192403265883,9.39
216,12.9,1.1,2,0,1,1,0,0,0,0.08527131782945736,6.45
217,28.15,3.0,5,1,1,1,0,0,0,0.10657193605683837,5.63
218,11.59,1.5,2,1,1,1,0,0,0,0.12942191544434858,5.795
219,7.74,1.44,2,1,1,1,0,0,0,0.18604651162790697,3.87
220,30.14,3.09,4,0,1,1,0,0,0,0.10252156602521566,7.535
221,12.16,2.2,2,1,1,0,0,0,1,0.18092105263157895,6.08
222,13.42,3.48,2,0,1,0,0,0,1,0.2593144560357675,6.71
223,8.58,1.92,1,1,1,0,0,0,1,0.22377622377622378,8.58
224,15.98,3.0,3,0,0,0,0,0,1,0.18773466833541927,5.326666666666667
225,13.42,1.58,2,1,1,0,0,0,1,0.11773472429210134,6.71
226,16.27,2.5,2,0,1,0,0,0,1,0.15365703749231716,8.135
227,10.09,2.0,2,0,1,0,0,0,1,0.19821605550049554,5.045
228,20.45,3.0,4,1,0,1,0,0,0,0.1466992665036675,5.1125
229,13.28,2.72,2,1,0,1,0,0,0,0.20481927710843376,6.64
230,22.12,2.88,2,0,1,1,0,0,0,0.13019891500904157,11.06
231,24.01,2.0,4,1,1,1,0,0,0,0.08329862557267805,6.0025
232,15.69,3.0,3,1,1,1,0,0,0,0.19120458891013384,5.2299999999999995
233,11.61,3.39,2,1,0,1,0,0,0,0.29198966408268734,5.805
234,10.77,1.47,2,1,0,1,0,0,0,0.13649025069637882,5.385
235,15.53,3.0,2,1,1,1,0,0,0,0.19317450096587252,7.765
236,10.07,1.25,2,1,0,1,0,0,0,0.12413108242303872,5.035
237,12.6,1.0,2,1,1,1,0,0,0,0.07936507936507936,6.3
238,32.83,1.17,2,1,1,1,0,0,0,0.03563813585135547,16.415
239,35.83,4.67,3,0,0,1,0,0,0,0.13033770583310075,11.943333333333333
240,29.03,5.92,3,1,0,1,0,0,0,0.2039269720978298,9.676666666666668
241,27.18,2.0,2,0,1,1,0,0,0,0.07358351729212656,13.59
242,22.67,2.0,2,1,1,1,0,0,0,0.08822232024702249,11.335
243,17.82,1.75,2,1,0,1,0,0,0,0.09820426487093153,8.91
244,18.78,3.0,2,0,0,0,0,1,0,0.1597444089456869,9.39
